Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Hawks,Celtics,Celtics,Celtics
Hawks,Pelicans,Hawks,Pelicans
Hawks,Bulls,Hawks,Bulls
Hawks,Mavericks,Mavericks,Mavericks
Hawks,Nuggets,Nuggets,Nuggets
Hawks,Rockets,Rockets,Rockets
Hawks,Clippers,Hawks,Clippers
Hawks,Lakers,Hawks,Lakers
Hawks,Heat,Hawks,Heat
Hawks,Bucks,Hawks,Bucks
Hawks,Timberwolves,Hawks,Timberwolves
Hawks,Nets,Hawks,Nets
Hawks,Knicks,Hawks,Knicks
Hawks,Magic,Hawks,Magic
Hawks,Pacers,Hawks,Pacers
Hawks,76ers,Hawks,76ers
Hawks,Suns,Hawks,Suns
Hawks,Trail Blazers,Hawks,Trail Blazers
Hawks,Kings,Hawks,Kings
Hawks,Spurs,Spurs,Spurs
Hawks,Thunder,Hawks,Thunder
Hawks,Raptors,Hawks,Raptors
Hawks,Jazz,Hawks,Jazz
Hawks,Grizzlies,Hawks,Grizzlies
Hawks,Wizards,Hawks,Wizards
Hawks,Pistons,Hawks,Pistons
Hawks,Hornets,Hawks,Hornets
Hawks,Cavaliers,Hawks,Cavaliers
Hawks,Warriors,Hawks,Warriors
Celtics,Hawks,Celtics,Hawks
Celtics,Pelicans,Celtics,Pelicans
Celtics,Bulls,Celtics,Bulls
Celtics,Mavericks,Mavericks,Mavericks
Celtics,Nuggets,Nuggets,Nuggets
Celtics,Rockets,Rockets,Rockets
Celtics,Clippers,Celtics,Clippers
Celtics,Lakers,Celtics,Lakers
Celtics,Heat,Heat,Heat
Celtics,Bucks,Celtics,Bucks
Celtics,Timberwolves,Celtics,Timberwolves
Celtics,Nets,Celtics,Nets
Celtics,Knicks,Celtics,Knicks
Celtics,Magic,Celtics,Magic
Celtics,Pacers,Celtics,Pacers
Celtics,76ers,Celtics,76ers
Celtics,Suns,Celtics,Suns
Celtics,Trail Blazers,Celtics,Trail Blazers
Celtics,Kings,Celtics,Kings
Celtics,Spurs,Spurs,Spurs
Celtics,Thunder,Celtics,Thunder
Celtics,Raptors,Celtics,Raptors
Celtics,Jazz,Jazz,Jazz
Celtics,Grizzlies,Celtics,Grizzlies
Celtics,Wizards,Celtics,Wizards
Celtics,Pistons,Celtics,Pistons
Celtics,Hornets,Celtics,Hornets
Celtics,Cavaliers,Celtics,Cavaliers
Celtics,Warriors,Warriors,Warriors
Pelicans,Hawks,Pelicans,Hawks
Pelicans,Celtics,Celtics,Celtics
Pelicans,Bulls,Pelicans,Bulls
Pelicans,Mavericks,Mavericks,Mavericks
Pelicans,Nuggets,Nuggets,Nuggets
Pelicans,Rockets,Pelicans,Rockets
Pelicans,Clippers,Pelicans,Clippers
Pelicans,Lakers,Pelicans,Lakers
Pelicans,Heat,Pelicans,Heat
Pelicans,Bucks,Pelicans,Bucks
Pelicans,Timberwolves,Pelicans,Timberwolves
Pelicans,Nets,Pelicans,Nets
Pelicans,Knicks,Pelicans,Knicks
Pelicans,Magic,Pelicans,Magic
Pelicans,Pacers,Pelicans,Pacers
Pelicans,76ers,Pelicans,76ers
Pelicans,Suns,Pelicans,Suns
Pelicans,Trail Blazers,Pelicans,Trail Blazers
Pelicans,Kings,Pelicans,Kings
Pelicans,Spurs,Spurs,Spurs
Pelicans,Thunder,Pelicans,Thunder
Pelicans,Raptors,Pelicans,Raptors
Pelicans,Jazz,Pelicans,Jazz
Pelicans,Grizzlies,Pelicans,Grizzlies
Pelicans,Wizards,Pelicans,Wizards
Pelicans,Pistons,Pelicans,Pistons
Pelicans,Hornets,Pelicans,Hornets
Pelicans,Cavaliers,Pelicans,Cavaliers
Pelicans,Warriors,Pelicans,Warriors
Bulls,Hawks,Bulls,Hawks
Bulls,Celtics,Celtics,Celtics
Bulls,Pelicans,Bulls,Pelicans
Bulls,Mavericks,Mavericks,Mavericks
Bulls,Nuggets,Nuggets,Nuggets
Bulls,Rockets,Rockets,Rockets
Bulls,Clippers,Bulls,Clippers
Bulls,Lakers,Bulls,Lakers
Bulls,Heat,Bulls,Heat
Bulls,Bucks,Bulls,Bucks
Bulls,Timberwolves,Bulls,Timberwolves
Bulls,Nets,Bulls,Nets
Bulls,Knicks,Bulls,Knicks
Bulls,Magic,Bulls,Magic
Bulls,Pacers,Bulls,Pacers
Bulls,76ers,Bulls,76ers
Bulls,Suns,Bulls,Suns
Bulls,Trail Blazers,Bulls,Trail Blazers
Bulls,Kings,Bulls,Kings
Bulls,Spurs,Spurs,Spurs
Bulls,Thunder,Bulls,Thunder
Bulls,Raptors,Bulls,Raptors
Bulls,Jazz,Jazz,Jazz
Bulls,Grizzlies,Bulls,Grizzlies
Bulls,Wizards,Bulls,Wizards
Bulls,Pistons,Bulls,Pistons
Bulls,Hornets,Bulls,Hornets
Bulls,Cavaliers,Bulls,Cavaliers
